"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6089","7","4","1","5000","7","DEAN FUNES 417","1","00001","CAPITAL","CÓRDOBA","CENTRO EDUC.NIVEL MEDIO ADULTO","4","1"
"6090","36","4","20","5000","17","OBISPO TREJO 294","1","00001","CAPITAL","CÓRDOBA","COL NAC DE MONSERRAT","4","1"
"6091","19","4","8","5000","12","BELGRANO 269","1","00001","CAPITAL","CÓRDOBA","ESC NUESTRA SEÑORA DEL HUERTO","4","1"
"6092","46","4","37","5000","10","OBISPO TREJO Y SANABRIA 160","1","00001","CAPITAL","CÓRDOBA","ESC SANTA TERESA DE JESUS","4","1"
"6093","63","4","47","5000","17","GRAL PAZ 486","1","00002","CAPITAL","CÓRDOBA","ESC JUAN BAUTISTA ALBERDI","4","1"
"6094","78","4","64","5000","15","SANTA ROSA 650","1","00003","CAPITAL","CÓRDOBA","ESC JERONIMO LUIS DE CABRERA","4","1"
"6095","121","4","108","5000","14","SANTA ROSA ESQ SANTA FE","1","00003","CAPITAL","CÓRDOBA","ESC MARIANO MORENO","4","1"
"6096","107","4","98","5000","10","AV COLON 951","1","00003","CAPITAL","CÓRDOBA","ESC NORMAL ALEJANDRO CARBO","4","1"
"6097","97","4","90","5000","8","CASEROS 745","1","00003","CAPITAL","CÓRDOBA","ESC SANTO TOMAS","4","1"
"6098","89","4","79","5000","11","DEAN FUNES 850","1","00003","CAPITAL","CÓRDOBA","IPEM N° 270 GRAL M BELGRANO","4","1"
"6099","147","4","132","5000","16","PERU 10","1","00004","CAPITAL","CÓRDOBA","COL NACIONAL DEAN FUNES","4","1"
"6100","131","4","122","5000","10","ITUZAINGO 483","1","00004","CAPITAL","CÓRDOBA","ENET N° 3 LEOPOLDO LUGONES","4","1"
"6101","156","4","148","5000","9","C ARENAL 699 B°R MARTINEZ","1","00004","CAPITAL","CÓRDOBA","ESC GDOR ALVAREZ","4","1"
"6102","172","4","157","5000","16","AV VALPARAISO CDAD  UNIVERSITARIA","1","00004","CAPITAL","CÓRDOBA","FAC DE CIENCIAS ECONOMICAS","4","1"
"6105","331","4","326","5000","6","ESTADOS UNIDOS Y RIO 1°  B°ALTAMIRA","1","00005","CAPITAL","CÓRDOBA","ESC ESTANISLAO DEL CAMPO","4","1"
"6106","342","4","332","5000","11","ENTRE RIOS 3373 B°PQUE SAN  VICENTE","1","00005","CAPITAL","CÓRDOBA","ESC M FRAGUEIRO","4","1"
"6107","325","4","318","5000","8","SOTO 919 - B°ACOST","1","00005","CAPITAL","CÓRDOBA","ESC PANAMERICANA","4","1"
