"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6312","2034","4","2032","","3","","1","0011M","","CÓRDOBA","INSTITUTO VILLADA","4","1"
"6089","7","4","1","5000","7","DEAN FUNES 417","1","00001","CAPITAL","CÓRDOBA","CENTRO EDUC.NIVEL MEDIO ADULTO","4","1"
"6090","36","4","20","5000","17","OBISPO TREJO 294","1","00001","CAPITAL","CÓRDOBA","COL NAC DE MONSERRAT","4","1"
"6091","19","4","8","5000","12","BELGRANO 269","1","00001","CAPITAL","CÓRDOBA","ESC NUESTRA SEÑORA DEL HUERTO","4","1"
"6092","46","4","37","5000","10","OBISPO TREJO Y SANABRIA 160","1","00001","CAPITAL","CÓRDOBA","ESC SANTA TERESA DE JESUS","4","1"
"6093","63","4","47","5000","17","GRAL PAZ 486","1","00002","CAPITAL","CÓRDOBA","ESC JUAN BAUTISTA ALBERDI","4","1"
"6094","78","4","64","5000","15","SANTA ROSA 650","1","00003","CAPITAL","CÓRDOBA","ESC JERONIMO LUIS DE CABRERA","4","1"
"6095","121","4","108","5000","14","SANTA ROSA ESQ SANTA FE","1","00003","CAPITAL","CÓRDOBA","ESC MARIANO MORENO","4","1"
"6096","107","4","98","5000","10","AV COLON 951","1","00003","CAPITAL","CÓRDOBA","ESC NORMAL ALEJANDRO CARBO","4","1"
"6097","97","4","90","5000","8","CASEROS 745","1","00003","CAPITAL","CÓRDOBA","ESC SANTO TOMAS","4","1"
"6098","89","4","79","5000","11","DEAN FUNES 850","1","00003","CAPITAL","CÓRDOBA","IPEM N° 270 GRAL M BELGRANO","4","1"
"6099","147","4","132","5000","16","PERU 10","1","00004","CAPITAL","CÓRDOBA","COL NACIONAL DEAN FUNES","4","1"
"6100","131","4","122","5000","10","ITUZAINGO 483","1","00004","CAPITAL","CÓRDOBA","ENET N° 3 LEOPOLDO LUGONES","4","1"
"6101","156","4","148","5000","9","C ARENAL 699 B°R MARTINEZ","1","00004","CAPITAL","CÓRDOBA","ESC GDOR ALVAREZ","4","1"
"6102","172","4","157","5000","16","AV VALPARAISO CDAD  UNIVERSITARIA","1","00004","CAPITAL","CÓRDOBA","FAC DE CIENCIAS ECONOMICAS","4","1"
"6103","179","4","173","","7","PAUNERO Y ARENAL","1","00004","","CÓRDOBA","IPEM 38 FRANC. PABLO DE MAURO","4","1"
"6104","317","4","303","5000","15","M BRAVO Y ENTRE RIOS","1","00005","B° ACOSTA","CÓRDOBA","ESC ESPAÑA","4","1"
"6105","331","4","326","5000","6","ESTADOS UNIDOS Y RIO 1°  B°ALTAMIRA","1","00005","CAPITAL","CÓRDOBA","ESC ESTANISLAO DEL CAMPO","4","1"
"6106","342","4","332","5000","11","ENTRE RIOS 3373 B°PQUE SAN  VICENTE","1","00005","CAPITAL","CÓRDOBA","ESC M FRAGUEIRO","4","1"
"6107","325","4","318","5000","8","SOTO 919 - B°ACOST","1","00005","CAPITAL","CÓRDOBA","ESC PANAMERICANA","4","1"
"6108","550","4","544","5000","7","AVDA PATRIA 282 B°ALTO GRAL  PA","1","00006","CAPITAL","CÓRDOBA","COL SAN RAMON NONATO","4","1"
"6109","543","4","535","5000","9","GARIBALDI 710 B°ALTO GRAL  PAZ","1","00006","CAPITAL","CÓRDOBA","ESC TENIENTE GRAL ARAMBURU","4","1"
"6110","636","4","636","5000","1","CNO PAJAS BLANCAS KM 8","1","00007","CAPITAL","CÓRDOBA","ESC J FUNES DE BONET","4","1"
"6111","854","4","853","5000","2","OCARINA 1613 - B° V CLAUDINA","1","00008","CAPITAL","CÓRDOBA","ESC RABINDRANAT TAGORE","4","1"
"6112","955","4","948","5000","8","DOMINGO ZIPOLI 1358  B°ESCOBA","1","00009","CAPITAL","CÓRDOBA","ESC PROVINCIA DE CORRIENTES","4","1"
"6113","965","4","956","5000","10","NAZARET 3399 - B° LAS ROSAS","1","00009","CAPITAL","CÓRDOBA","INST ESCUTI","4","1"
"6114","1191","4","1182","5000","10","AV VELEZ SARSFIELD 1490  B°GÜEMES","1","00010","CAPITAL","CÓRDOBA","E.N.E.T. N°1 DR A SABATTINI","4","1"
"6115","1200","4","1192","5000","9","SUECIA 2832 B° PQUE VELEZ  SARSFIELD","1","00010","CAPITAL","CÓRDOBA","ESC MANUEL BELGRANO","4","1"
"6116","1163","4","1150","5000","14","AV VELEZ SARSFIELD 1000  B°GÜEMES","1","00010","CAPITAL","CÓRDOBA","ESC ROQUE SAENZ PEÑA","4","1"
"6117","1181","4","1164","5000","18","FERREYRA Y FRIULI B°COL DE V  SARSF","1","00010","CAPITAL","CÓRDOBA","INST EDUCACION CORDOBA","4","1"
"6118","1606","4","1595","5000","12","SUBOF OTANO S/N° B°  AERONAUTICO","1","00011","CAPITAL","CÓRDOBA","ESC ISABEL LA CATOLICA","4","1"
"6119","2054","4","2047","5000","8","J.LLERENA 5561 - B° SAN  LORENZO","1","00012","CAPITAL","CÓRDOBA","ESC CONSTANCIO C VIGIL","4","1"
"6120","2046","4","2035","5000","12","BENAVIDEZ Y CANESA - B°N  AVELLANEDA","1","00012","CAPITAL","CÓRDOBA","ESC JUAN XXIII","4","1"
"6121","2059","4","2055","5000","5","LOS ALGARROBOS/ESPINILLOS","1","00012","B°LOS SAUCES CAPITAL","CÓRDOBA","ESC MUNIC OSCAR SOTO LOPEZ","4","1"
"6122","2376","4","2367","5000","10","M DE JAUREGUI 1657 B°L N  ALEM","1","00013","CAPITAL","CÓRDOBA","ESC ARISTOBULO DEL VALLE","4","1"
"6123","2382","4","2377","5000","6","COLOMPREA 1500 B° ALEM","1","00013","CAPITAL","CÓRDOBA","ESC ASOCIACION DE MAYO","4","1"
"6124","2366","4","2355","5000","12","DIAG ICA Y CAMICALTA B°L N  ALEM","1","00013","CAPITAL","CÓRDOBA","ESC PADRE DIEGO DE TORRES","4","1"
"6125","2765","4","2748","5000","18","AV MARTINOLI 3950","1","00014","CAPITAL","CÓRDOBA","COLEGIO LA SALLE","4","1"
"6126","193","4","187","5000","7","CHANETON 390 B° SAN  FERNANDO","1","0004A","CAPITAL","CÓRDOBA","ESC ALMAFUERTE","4","1"
"6127","201","4","194","5000","8","J I DIAZ 200 B° EJERCITO  ARGENTINO","1","0004A","CAPITAL","CÓRDOBA","ESC COM R ECHEGOYEN","4","1"
"6128","186","4","180","5000","7","MONTERROSO 4597 B° ARTIGAS","1","0004A","CAPITAL","CÓRDOBA","ESC ERNESTO BANCALARI","4","1"
