"cue_anexo","nombre","sector","estado","domicilio","cp","telefono","localidad","departamento","email","lat","lon"
"140006100","FERNANDO FADER (EX NAC. 437)","Estatal","Activo","CALLE PUBLICA S/N ALTO DE LOS REARTES","X5194","","ALTO DE LOS REARTES","CALAMUCHITA","ARNEDOBLANCHET@YAHOO.COM.AR","-31.9430888134781","-64.6386528385958"
"140012800","DR. DALMACIO VELEZ SARSFIELD","Estatal","Activo","CALLE PUBLICA 0 AMBOY","X5199","","AMBOY","CALAMUCHITA","NO INFORMO","-32.1751529","-64.5728564"
"140119801","I.P.E.M. N° 271 - DR. DALMACIO VELEZ SARSFIELD-ANEXO DE AMBOY","Estatal","Activo","AYLLU AMBOY","X5199","","AMBOY","CALAMUCHITA","ipem271amboy@yahoo.com.ar","-32.1751529","-64.5728564"
"140183400","ESCUELA JOSE INGENIEROS","Estatal","Activo","CALLE PUBLICA S/Nº ARROYO SECO","X5196","","ARROYO SECO","CALAMUCHITA","","-32.0928621434466","-64.5638784519696"
"140080203","J.DE INF. GENERAL JOSE DE SAN MARTIN - ANEXO ATHOS PAMPA","Estatal","Activo","CALLE PUBLICA S/N ATHOS PAMPA","X5000","","ATOS PAMPA","CALAMUCHITA","","-31.9910669550179","-64.6919479842468"
"140231800","MANUEL BELGRANO","Estatal","Activo","CALLE PUBLICA S/N? ZONA RURAL A 17 km deVilla Alpina y 18 km de Villa Gral. Belgrano","X5194","","ATOS PAMPA","CALAMUCHITA","notiene@noinforma","-31.9910669597","-64.6919479841"
"140232300","COLEGIO 25 DE MAYO","Privado","Activo","CALLE PUBLICA S/N° PARAJE CAÑADA DEL TALA P/LA CRUZ","X5859","15403897(dir.)","CA+æADA DEL TALA","CALAMUCHITA","inst.25demayo@hotmail.com","-32.2573680409397","-64.6097668633092"
"140237400","PABLO A. PIZZURNO","Estatal","Activo","ZONA RURAL POR LA CRUZ 0 ZONA RURAL POR LA CRUZ","X5859","","CAÑADA DE ALVAREZ","CALAMUCHITA","julieta.gonzalez.escuela@live.com.ar","-32.3652592","-64.5500823"
"140232100","ADOLFO ALSINA","Estatal","Activo","FRANCISCO CESAR S/Nº VILLA CAÑADA DEL SAUCE P/BERROTARAN","X5817","","CAÑADA DEL SAUCE","CALAMUCHITA","jgiordana@itc.com.ar","-32.3766557","-64.6343311"
"140388503","C.E.N.MA. Nº 61 - ANEXO CAÑADA DEL SAUCE","Estatal","Activo","FRANCISCO CESAR 0","X5817","","CAÑADA DEL SAUCE","CALAMUCHITA","","-32.3766557","-64.6343311"
