latitude,longitude,cant_mesas,direccion,seccion,circuito,localidad,establecim,id,dne_seccio,hora
-63.87395000007332,-32.81290999485688,3,CABRERA,8,106,CABRERA,"ESC,PROV.E.F.OLMOS",6639,8,24
-62.380307143781096,-33.31810934893243,12,LIBERTAD 446,9,129,ISLA VERDE,INST SEC ISLA VERDE,6680,9,24
-63.87509953881975,-31.675549977334647,6,PILAR,16,240,PILAR,ESC JUAN BAUTISTA BUSTOS,6929,16,24
-62.97709873199994,-33.95136762520001,4,ALVEAR 220,17,249,LA CESIRA,ESC VICTIRIANO RODRIGUEZ,6958,17,24
-64.05148789999996,-30.06818640000005,2,CAMINIAGA,22,333,CAMINIAGA,ESC V LOPEZ Y PLANES,7140,22,24
-62.88589852958612,-33.56310221520851,10,CANALS,26,378,CANALS,ESC PROV J HERNANDEZ,7220,26,24
-62.885039558957,-33.56363155354126,12,CANALS,26,378,CANALS,INSTITUTO BELISARIO ROLDAN,7221,26,24
-63.09854930000836,-33.746495194351496,5,AVELLANEDA 182,26,402,VIAMONTE,INSTITUTO JUAN B ALBERDI,7248,26,24
-63.49112,-33.75796540000002,1,12 DE OCTUBRE 0,8,0110A,PACHECO DE MELO,"ESC,PROV.M.BELGRANO",6659,8,24
-63.852063899999926,-29.999045699999957,1,PUBLICA S/N,15,0227C,CHAÑAR VIEJO,ESC PROV G MARTINEZ PIZARRO,6910,15,24
-64.37723139999996,-32.24741809999996,1,PUBLICA S/N,2,16,ATHOS PAMPA,ESC PROV. M.BELGRANO,6432,2,19
-64.75644109699995,-32.095461360399995,5,LOS CONDORES,2,19,LOS CONDORES,ESC. PROV. FRENCH Y BERUTTI,6438,2,19
-64.10794929710535,-31.430106863987408,5,"MANZANA 7, B° VILLA BOEDO",1,0005H,,ESC. MADRE MARIA DEL TRANSITO,6158,1,19
-63.503903963034226,-32.360864067191045,4,RIVADAVIA 410,6,74,ARROYO CABRAL,ESC.PROV.D.V.SARSFIELD,6579,6,19
-63.503903963034226,-32.360864067191045,5,ARROYO CABRAL,6,74,ARROYO CABRAL,INST. SEC. COM. SAN JOSE,6580,6,19
-63.23368666019999,-32.30450454299996,1,RUTA PROV N 158 0,6,81,MOJARRAS,ESC.PROV. ISLAS MALVINAS,6588,6,19
-63.409349068799955,-32.612244258500006,2,FELIPE LORENZATTI 875,6,82,PALESTINA,ESC PROV CMTE L PIEDRABUENA,6589,6,19
-63.2488296,-32.527799199999976,1,PUBLICA S/N,6,84,SANABRIA,ESC PROV JOSE DE SAN MARTIN,6591,6,19
-63.434691302599965,-32.69466448719998,6,TICINO,6,87,TICINO,ESC. A. CAPDEVILA,6593,6,19
-63.246078927860836,-32.41781150734939,12,BELGRANO 302,6,89,VILLA MARIA,ESC.DR. J.BIANCO,6597,6,19
-63.2471,-32.4117,4,RUCCI 141,6,89,VILLA MARIA,INSTITUTO SAN ANTONIO,6606,6,19
-64.36537157019998,-30.580031133800002,1,PUBLICA S/N,7,97,ISCHILIN,ESCUELA FERNANDO FADER,6625,7,19
-64.46677189989994,-30.207553615499965,3,VELEZ SARSFIELD 0,7,100,QUILINO VILLA,ESC.PROV.D.V.SARSFIELD,6629,7,19
-64.44612852199994,-30.45417307109997,1,PUBLICA S/N,7,101,SAN PEDRO DE TOYOS,ESC PROV JOAQUIN V GONZALEZ,6630,7,19
