mesa_desde,mesa_hasta,vot_parcodigo,total
1,7,003,389
1,7,047,95
1,7,191,91
1,7,217,67
1,7,501,206
1,7,503,315
1,7,505,225
1,7,512,156
1,7,514,68
1,7,9003,3
1,7,9004,17
1,7,9005,26
1,7,9006,0
8,19,003,677
8,19,047,176
8,19,191,130
8,19,217,108
8,19,501,386
8,19,503,522
8,19,505,338
8,19,512,325
8,19,514,101
8,19,9003,0
8,19,9004,23
8,19,9005,34
8,19,9006,1
20,36,003,991
20,36,047,231
20,36,191,205
20,36,217,150
20,36,501,526
20,36,503,708
20,36,505,465
20,36,512,490
20,36,514,183
20,36,9003,1
20,36,9004,31
20,36,9005,46
20,36,9006,4
37,46,003,612
37,46,047,166
37,46,191,109
37,46,217,88
37,46,501,297
37,46,503,389
37,46,505,292
37,46,512,233
37,46,514,110
37,46,9003,0
37,46,9004,17
37,46,9005,22
37,46,9006,1
47,63,003,879
47,63,047,182
47,63,191,213
47,63,217,121
47,63,501,529
47,63,503,581
47,63,505,495
47,63,512,476
47,63,514,177
47,63,9003,0
47,63,9004,34
47,63,9005,56
47,63,9006,1
64,78,003,800
64,78,047,171
64,78,191,191
64,78,217,155
64,78,501,524
64,78,503,586
64,78,505,507
64,78,512,326
64,78,514,183
64,78,9003,0
64,78,9004,24
64,78,9005,36
64,78,9006,7
79,89,003,618
79,89,047,144
79,89,191,131
79,89,217,130
79,89,501,418
79,89,503,451
79,89,505,423
79,89,512,254
79,89,514,142
79,89,9003,0
79,89,9004,15
79,89,9005,40
79,89,9006,1
90,97,003,439
90,97,047,124
90,97,191,89
90,97,217,74
90,97,501,287
90,97,503,351
90,97,505,294
90,97,512,195
90,97,514,88
90,97,9003,0
90,97,9004,7
90,97,9005,26
90,97,9006,0
98,107,003,581
98,107,047,114
98,107,191,124
98,107,217,106
98,107,501,345
98,107,503,429
98,107,505,352
98,107,512,296
98,107,514,137
98,107,9003,0
98,107,9004,13
98,107,9005,26
98,107,9006,2
108,121,003,841
108,121,047,168
108,121,191,205
108,121,217,135
108,121,501,515
108,121,503,519
108,121,505,524
108,121,512,368
108,121,514,180
108,121,9003,0
108,121,9004,23
108,121,9005,48
108,121,9006,0
122,131,003,618
122,131,047,173
122,131,191,94
122,131,217,116
122,131,501,326
122,131,503,497
122,131,505,292
122,131,512,243
122,131,514,84
122,131,9003,0
122,131,9004,19
122,131,9005,19
122,131,9006,1
132,147,003,990
132,147,047,232
132,147,191,149
132,147,217,187
132,147,501,506
132,147,503,776
132,147,505,415
132,147,512,414
132,147,514,157
132,147,9003,1
132,147,9004,34
132,147,9005,40
132,147,9006,4
148,156,003,491
148,156,047,123
148,156,191,77
148,156,217,72
148,156,501,254
148,156,503,417
148,156,505,198
148,156,512,214
148,156,514,76
148,156,9003,0
148,156,9004,14
148,156,9005,17
148,156,9006,0
157,172,003,935
157,172,047,225
157,172,191,141
157,172,217,167
157,172,501,544
157,172,503,756
157,172,505,421
157,172,512,377
157,172,514,130
157,172,9003,0
157,172,9004,18
157,172,9005,39
157,172,9006,0
173,179,003,430
173,179,047,90
173,179,191,69
173,179,217,64
173,179,501,270
173,179,503,326
173,179,505,207
173,179,512,166
173,179,514,73
173,179,9003,0
173,179,9004,13
173,179,9005,12
173,179,9006,0
180,186,003,396
180,186,047,74
180,186,191,156
180,186,217,56
180,186,501,247
180,186,503,311
180,186,505,258
180,186,512,285
180,186,514,104
180,186,9003,0
180,186,9004,11
180,186,9005,16
180,186,9006,1
187,193,003,463
187,193,047,75
187,193,191,148
187,193,217,78
187,193,501,235
187,193,503,280
187,193,505,255
187,193,512,229
187,193,514,99
187,193,9003,0
187,193,9004,18
187,193,9005,34
187,193,9006,0
194,201,003,482
194,201,047,88
194,201,191,194
194,201,217,73
194,201,501,294
194,201,503,335
194,201,505,302
194,201,512,265
194,201,514,118
194,201,9003,3
194,201,9004,11
194,201,9005,28
194,201,9006,0
202,229,003,1571
202,229,047,300
202,229,191,602
202,229,217,248
202,229,501,991
202,229,503,1124
202,229,505,988
202,229,512,1079
202,229,514,424
202,229,9003,4
202,229,9004,53
202,229,9005,103
202,229,9006,4
230,251,003,1407
230,251,047,314
230,251,191,318
230,251,217,230
230,251,501,698
230,251,503,1199
230,251,505,659
230,251,512,677
230,251,514,280
230,251,9003,0
230,251,9004,52
230,251,9005,66
230,251,9006,1
252,261,003,556
252,261,047,104
252,261,191,144
252,261,217,90
252,261,501,276
252,261,503,484
252,261,505,307
252,261,512,290
252,261,514,110
252,261,9003,1
252,261,9004,21
252,261,9005,44
252,261,9006,1
262,274,003,853
262,274,047,174
262,274,191,199
262,274,217,146
262,274,501,412
262,274,503,666
262,274,505,396
262,274,512,423
262,274,514,164
262,274,9003,0
262,274,9004,22
262,274,9005,66
262,274,9006,0
275,279,003,233
275,279,047,37
275,279,191,139
275,279,217,95
275,279,501,163
275,279,503,199
275,279,505,147
275,279,512,229
275,279,514,55
275,279,9003,0
275,279,9004,15
275,279,9005,24
275,279,9006,1
280,286,003,354
280,286,047,48
280,286,191,153
280,286,217,122
280,286,501,192
280,286,503,309
280,286,505,221
280,286,512,324
280,286,514,108
280,286,9003,0
280,286,9004,21
280,286,9005,50
280,286,9006,1
287,291,003,290
287,291,047,53
287,291,191,59
287,291,217,96
287,291,501,106
287,291,503,346
287,291,505,98
287,291,512,150
287,291,514,43
287,291,9003,0
287,291,9004,10
287,291,9005,9
287,291,9006,0
292,296,003,193
292,296,047,31
292,296,191,111
292,296,217,27
292,296,501,260
292,296,503,122
292,296,505,96
292,296,512,219
292,296,514,52
292,296,9003,0
292,296,9004,15
292,296,9005,49
292,296,9006,1
297,302,003,104
297,302,047,23
297,302,191,140
297,302,217,15
297,302,501,201
297,302,503,115
297,302,505,59
297,302,512,417
297,302,514,44
297,302,9003,0
297,302,9004,20
297,302,9005,14
297,302,9006,0
303,317,003,711
303,317,047,144
303,317,191,354
303,317,217,128
303,317,501,532
303,317,503,623
303,317,505,511
303,317,512,551
303,317,514,257
303,317,9003,1
303,317,9004,35
303,317,9005,90
303,317,9006,2
318,325,003,409
318,325,047,66
318,325,191,158
318,325,217,58
318,325,501,268
318,325,503,374
318,325,505,269
318,325,512,292
318,325,514,125
318,325,9003,0
318,325,9004,24
318,325,9005,44
318,325,9006,0
326,331,003,219
326,331,047,46
326,331,191,108
326,331,217,38
326,331,501,194
326,331,503,230
326,331,505,191
326,331,512,196
326,331,514,84
326,331,9003,0
326,331,9004,19
326,331,9005,27
326,331,9006,0
332,342,003,492
332,342,047,96
332,342,191,200
332,342,217,96
332,342,501,331
332,342,503,412
332,342,505,333
332,342,512,362
332,342,514,169
332,342,9003,0
332,342,9004,28
332,342,9005,54
332,342,9006,7
343,348,003,163
343,348,047,32
343,348,191,203
343,348,217,39
343,348,501,267
343,348,503,251
343,348,505,174
343,348,512,307
343,348,514,86
343,348,9003,0
343,348,9004,24
343,348,9005,67
343,348,9006,0
349,357,003,266
349,357,047,41
349,357,191,268
349,357,217,53
349,357,501,371
349,357,503,333
349,357,505,210
349,357,512,420
349,357,514,128
349,357,9003,0
349,357,9004,39
349,357,9005,67
349,357,9006,0
358,363,003,370
358,363,047,65
358,363,191,141
358,363,217,66
358,363,501,181
358,363,503,247
358,363,505,214
358,363,512,187
358,363,514,66
358,363,9003,0
358,363,9004,4
358,363,9005,33
358,363,9006,0
364,376,003,655
364,376,047,141
364,376,191,326
364,376,217,115
364,376,501,406
364,376,503,564
364,376,505,492
364,376,512,499
364,376,514,219
364,376,9003,7
364,376,9004,33
364,376,9005,65
364,376,9006,4
377,388,003,642
377,388,047,117
377,388,191,297
377,388,217,126
377,388,501,349
377,388,503,559
377,388,505,451
377,388,512,434
377,388,514,208
377,388,9003,0
377,388,9004,16
377,388,9005,95
377,388,9006,4
389,396,003,444
389,396,047,87
389,396,191,219
389,396,217,87
389,396,501,249
389,396,503,354
389,396,505,274
389,396,512,310
389,396,514,115
389,396,9003,1
389,396,9004,17
389,396,9005,49
389,396,9006,2
397,401,003,263
397,401,047,43
397,401,191,120
397,401,217,39
397,401,501,175
397,401,503,245
397,401,505,197
397,401,512,175
397,401,514,74
397,401,9003,0
397,401,9004,14
397,401,9005,24
397,401,9006,1
402,413,003,653
402,413,047,130
402,413,191,283
402,413,217,111
402,413,501,444
402,413,503,519
402,413,505,417
402,413,512,429
402,413,514,218
402,413,9003,0
402,413,9004,27
402,413,9005,69
402,413,9006,2
414,419,003,193
414,419,047,23
414,419,191,127
414,419,217,39
414,419,501,281
414,419,503,151
414,419,505,131
414,419,512,229
414,419,514,74
414,419,9003,0
414,419,9004,13
414,419,9005,32
414,419,9006,0
420,427,003,259
420,427,047,40
420,427,191,190
420,427,217,57
420,427,501,412
420,427,503,275
420,427,505,204
420,427,512,397
420,427,514,106
420,427,9003,0
420,427,9004,29
420,427,9005,32
420,427,9006,2
428,435,003,262
428,435,047,37
428,435,191,176
428,435,217,45
428,435,501,437
428,435,503,261
428,435,505,218
428,435,512,376
428,435,514,110
428,435,9003,4
428,435,9004,25
428,435,9005,33
428,435,9006,2
436,443,003,291
436,443,047,43
436,443,191,217
436,443,217,74
436,443,501,423
436,443,503,232
436,443,505,195
436,443,512,384
436,443,514,100
436,443,9003,0
436,443,9004,23
436,443,9005,32
436,443,9006,0
444,451,003,318
444,451,047,70
444,451,191,228
444,451,217,55
444,451,501,369
444,451,503,330
444,451,505,210
444,451,512,317
444,451,514,158
444,451,9003,0
444,451,9004,12
444,451,9005,70
444,451,9006,0
452,456,003,195
452,456,047,29
452,456,191,126
452,456,217,35
452,456,501,167
452,456,503,210
452,456,505,174
452,456,512,199
452,456,514,116
452,456,9003,7
452,456,9004,13
452,456,9005,34
452,456,9006,0
457,468,003,398
457,468,047,51
457,468,191,391
457,468,217,83
457,468,501,602
457,468,503,367
457,468,505,245
457,468,512,885
457,468,514,141
457,468,9003,0
457,468,9004,41
457,468,9005,112
457,468,9006,4
469,477,003,460
469,477,047,87
469,477,191,173
469,477,217,74
469,477,501,297
469,477,503,347
469,477,505,313
469,477,512,299
469,477,514,124
469,477,9003,0
469,477,9004,21
469,477,9005,54
