mesa_desde,mesa_hasta,vot_parcodigo,total
1,7,047,78
1,7,063,38
1,7,191,111
1,7,234,20
1,7,501,172
1,7,503,237
1,7,505,166
1,7,514,59
1,7,3020,27
1,7,3021,311
1,7,3022,61
1,7,3023,50
1,7,3024,9
1,7,3025,9
1,7,3026,151
1,7,3027,83
1,7,9003,0
1,7,9004,21
1,7,9005,22
1,7,9006,1
8,19,047,129
8,19,063,57
8,19,191,168
8,19,234,33
8,19,501,322
8,19,503,396
8,19,505,260
8,19,514,109
8,19,3020,41
8,19,3021,524
8,19,3022,114
8,19,3023,63
8,19,3024,8
8,19,3025,12
8,19,3026,316
8,19,3027,133
8,19,9003,1
8,19,9004,31
8,19,9005,42
8,19,9006,3
20,36,047,183
20,36,063,89
20,36,191,270
20,36,234,33
20,36,501,430
20,36,503,543
20,36,505,350
20,36,514,162
20,36,3020,36
20,36,3021,769
20,36,3022,170
20,36,3023,103
20,36,3024,19
20,36,3025,15
20,36,3026,418
20,36,3027,190
20,36,9003,2
20,36,9004,33
20,36,9005,96
20,36,9006,3
37,46,047,114
37,46,063,47
37,46,191,150
37,46,234,24
37,46,501,256
37,46,503,291
37,46,505,223
37,46,514,107
37,46,3020,23
37,46,3021,474
37,46,3022,94
37,46,3023,51
37,46,3024,15
37,46,3025,15
37,46,3026,254
37,46,3027,103
37,46,9003,0
37,46,9004,12
37,46,9005,34
37,46,9006,1
47,63,047,140
47,63,063,65
47,63,191,339
47,63,234,57
47,63,501,454
47,63,503,498
47,63,505,411
47,63,514,161
47,63,3020,44
47,63,3021,698
47,63,3022,154
47,63,3023,83
47,63,3024,13
47,63,3025,21
47,63,3026,427
47,63,3027,174
47,63,9003,3
47,63,9004,37
47,63,9005,102
47,63,9006,5
64,78,047,170
64,78,063,60
64,78,191,271
64,78,234,39
64,78,501,466
64,78,503,489
64,78,505,398
64,78,514,198
64,78,3020,43
64,78,3021,634
64,78,3022,143
64,78,3023,108
64,78,3024,18
64,78,3025,20
64,78,3026,362
64,78,3027,186
64,78,9003,0
64,78,9004,30
64,78,9005,66
64,78,9006,0
79,89,047,96
79,89,063,38
79,89,191,173
79,89,234,44
79,89,501,337
79,89,503,352
79,89,505,335
79,89,514,153
79,89,3020,30
79,89,3021,500
79,89,3022,108
79,89,3023,82
79,89,3024,5
79,89,3025,19
79,89,3026,252
79,89,3027,126
79,89,9003,0
79,89,9004,18
79,89,9005,47
79,89,9006,1
90,97,047,95
90,97,063,39
90,97,191,118
90,97,234,24
90,97,501,239
90,97,503,266
90,97,505,205
90,97,514,87
90,97,3020,20
90,97,3021,337
90,97,3022,55
90,97,3023,44
90,97,3024,11
90,97,3025,11
90,97,3026,173
90,97,3027,98
90,97,9003,0
90,97,9004,13
90,97,9005,39
90,97,9006,0
98,107,047,90
98,107,063,49
98,107,191,183
98,107,234,27
98,107,501,279
98,107,503,345
98,107,505,276
98,107,514,137
98,107,3020,29
98,107,3021,444
98,107,3022,98
98,107,3023,62
98,107,3024,11
98,107,3025,5
98,107,3026,276
98,107,3027,120
98,107,9003,0
98,107,9004,22
98,107,9005,37
98,107,9006,0
108,121,047,126
108,121,063,65
108,121,191,224
108,121,234,48
108,121,501,375
108,121,503,386
108,121,505,382
108,121,514,170
108,121,3020,27
108,121,3021,622
108,121,3022,94
108,121,3023,73
108,121,3024,16
108,121,3025,15
108,121,3026,316
108,121,3027,143
108,121,9003,1
108,121,9004,28
108,121,9005,58
108,121,9006,3
122,131,047,137
122,131,063,48
122,131,191,139
122,131,234,32
122,131,501,275
122,131,503,366
122,131,505,207
122,131,514,98
122,131,3020,29
122,131,3021,493
122,131,3022,86
122,131,3023,106
122,131,3024,10
122,131,3025,9
122,131,3026,260
122,131,3027,101
122,131,9003,0
122,131,9004,21
122,131,9005,30
122,131,9006,0
132,147,047,187
132,147,063,93
132,147,191,180
132,147,234,46
132,147,501,413
132,147,503,616
132,147,505,326
132,147,514,164
132,147,3020,36
132,147,3021,816
132,147,3022,130
132,147,3023,147
132,147,3024,9
132,147,3025,13
132,147,3026,365
132,147,3027,151
132,147,9003,6
132,147,9004,34
132,147,9005,56
132,147,9006,1
148,156,047,112
148,156,063,49
148,156,191,95
148,156,234,27
148,156,501,244
148,156,503,350
148,156,505,168
148,156,514,99
148,156,3020,17
148,156,3021,431
148,156,3022,86
148,156,3023,61
148,156,3024,4
148,156,3025,10
148,156,3026,238
148,156,3027,81
148,156,9003,1
148,156,9004,14
148,156,9005,37
148,156,9006,2
157,172,047,219
157,172,063,75
157,172,191,211
157,172,234,49
157,172,501,474
157,172,503,574
157,172,505,310
157,172,514,164
157,172,3020,38
157,172,3021,791
157,172,3022,157
157,172,3023,163
157,172,3024,14
157,172,3025,16
157,172,3026,372
157,172,3027,189
157,172,9003,0
157,172,9004,31
157,172,9005,53
157,172,9006,2
173,179,047,82
173,179,063,34
173,179,191,90
173,179,234,20
173,179,501,209
173,179,503,244
173,179,505,138
173,179,514,84
173,179,3020,13
173,179,3021,332
173,179,3022,57
173,179,3023,56
173,179,3024,4
173,179,3025,8
173,179,3026,156
173,179,3027,78
173,179,9003,0
173,179,9004,18
173,179,9005,24
173,179,9006,0
180,186,047,47
180,186,063,24
180,186,191,157
180,186,234,18
180,186,501,152
180,186,503,218
180,186,505,176
180,186,514,83
180,186,3020,18
180,186,3021,260
180,186,3022,38
180,186,3023,30
180,186,3024,5
180,186,3025,14
180,186,3026,240
180,186,3027,105
180,186,9003,1
180,186,9004,13
180,186,9005,11
180,186,9006,1
187,193,047,50
187,193,063,22
187,193,191,131
187,193,234,21
187,193,501,128
187,193,503,162
187,193,505,143
187,193,514,65
187,193,3020,15
187,193,3021,255
187,193,3022,31
187,193,3023,23
187,193,3024,4
187,193,3025,6
187,193,3026,175
187,193,3027,65
187,193,9003,0
187,193,9004,19
187,193,9005,23
187,193,9006,0
194,201,047,65
194,201,063,27
194,201,191,247
194,201,234,31
194,201,501,206
194,201,503,296
194,201,505,230
194,201,514,104
194,201,3020,22
194,201,3021,312
194,201,3022,46
194,201,3023,30
194,201,3024,5
194,201,3025,16
194,201,3026,296
194,201,3027,116
194,201,9003,0
194,201,9004,15
194,201,9005,39
194,201,9006,7
202,229,047,237
202,229,063,98
202,229,191,827
202,229,234,105
202,229,501,734
202,229,503,919
202,229,505,711
202,229,514,356
202,229,3020,88
202,229,3021,1158
202,229,3022,162
202,229,3023,136
202,229,3024,54
202,229,3025,38
202,229,3026,971
202,229,3027,428
202,229,9003,0
202,229,9004,77
202,229,9005,160
202,229,9006,2
230,251,047,266
230,251,063,144
230,251,191,435
230,251,234,61
230,251,501,501
230,251,503,821
230,251,505,497
230,251,514,234
230,251,3020,110
230,251,3021,1039
230,251,3022,158
230,251,3023,193
230,251,3024,15
230,251,3025,27
230,251,3026,639
230,251,3027,242
230,251,9003,12
230,251,9004,70
230,251,9005,97
230,251,9006,4
252,261,047,113
252,261,063,55
252,261,191,236
252,261,234,35
252,261,501,197
252,261,503,413
252,261,505,238
252,261,514,113
252,261,3020,59
252,261,3021,456
252,261,3022,95
252,261,3023,75
252,261,3024,11
252,261,3025,14
252,261,3026,321
252,261,3027,141
252,261,9003,0
252,261,9004,33
252,261,9005,40
252,261,9006,0
262,274,047,151
262,274,063,68
262,274,191,262
262,274,234,39
262,274,501,304
262,274,503,490
262,274,505,277
262,274,514,147
262,274,3020,75
262,274,3021,683
262,274,3022,117
262,274,3023,102
262,274,3024,28
262,274,3025,15
262,274,3026,407
262,274,3027,161
262,274,9003,0
262,274,9004,26
262,274,9005,88
262,274,9006,2
275,279,047,27
275,279,063,16
275,279,191,171
275,279,234,15
275,279,501,118
275,279,503,152
275,279,505,104
275,279,514,33
275,279,3020,21
275,279,3021,174
275,279,3022,46
275,279,3023,77
275,279,3024,5
275,279,3025,10
275,279,3026,191
275,279,3027,76
275,279,9003,1
275,279,9004,15
275,279,9005,28
275,279,9006,1
280,286,047,35
280,286,063,12
280,286,191,202
280,286,234,16
280,286,501,121
280,286,503,201
280,286,505,125
280,286,514,62
280,286,3020,19
280,286,3021,230
280,286,3022,69
280,286,3023,92
280,286,3024,11
280,286,3025,7
280,286,3026,247
280,286,3027,63
280,286,9003,0
280,286,9004,19
280,286,9005,46
280,286,9006,1
287,291,047,43
287,291,063,40
287,291,191,81
287,291,234,8
287,291,501,94
287,291,503,261
287,291,505,66
287,291,514,49
287,291,3020,10
287,291,3021,242
287,291,3022,29
287,291,3023,81
287,291,3024,6
287,291,3025,9
287,291,3026,126
287,291,3027,44
287,291,9003,0
287,291,9004,12
287,291,9005,20
287,291,9006,0
292,296,047,13
292,296,063,14
292,296,191,153
292,296,234,18
292,296,501,97
292,296,503,75
292,296,505,64
292,296,514,24
292,296,3020,6
292,296,3021,94
292,296,3022,7
292,296,3023,8
292,296,3024,4
292,296,3025,5
292,296,3026,193
292,296,3027,31
292,296,9003,1
292,296,9004,23
292,296,9005,41
292,296,9006,0
297,302,047,22
297,302,063,13
297,302,191,230
297,302,234,13
297,302,501,94
297,302,503,95
297,302,505,57
297,302,514,40
297,302,3020,31
297,302,3021,90
297,302,3022,74
297,302,3023,5
297,302,3024,3
297,302,3025,4
297,302,3026,442
297,302,3027,50
297,302,9003,0
297,302,9004,25
297,302,9005,33
297,302,9006,0
303,317,047,98
303,317,063,44
303,317,191,471
303,317,234,40
303,317,501,323
303,317,503,518
303,317,505,362
303,317,514,184
303,317,3020,34
303,317,3021,565
303,317,3022,92
303,317,3023,53
303,317,3024,35
303,317,3025,44
303,317,3026,609
303,317,3027,212
303,317,9003,0
303,317,9004,69
303,317,9005,83
303,317,9006,1
318,325,047,59
318,325,063,29
318,325,191,232
318,325,234,31
318,325,501,182
318,325,503,291
318,325,505,181
318,325,514,69
318,325,3020,21
318,325,3021,311
318,325,3022,46
318,325,3023,28
318,325,3024,18
318,325,3025,17
318,325,3026,332
318,325,3027,105
318,325,9003,14
318,325,9004,24
318,325,9005,49
318,325,9006,0
326,331,047,50
326,331,063,20
326,331,191,223
326,331,234,21
326,331,501,139
326,331,503,214
326,331,505,164
326,331,514,58
326,331,3020,17
326,331,3021,235
326,331,3022,29
326,331,3023,10
326,331,3024,11
326,331,3025,23
326,331,3026,220
326,331,3027,92
326,331,9003,0
326,331,9004,21
326,331,9005,24
326,331,9006,8
332,342,047,74
332,342,063,43
332,342,191,314
332,342,234,38
332,342,501,234
332,342,503,380
332,342,505,286
332,342,514,112
332,342,3020,27
332,342,3021,420
332,342,3022,49
332,342,3023,28
332,342,3024,18
332,342,3025,25
332,342,3026,482
332,342,3027,148
332,342,9003,9
332,342,9004,36
332,342,9005,72
332,342,9006,1
343,348,047,24
343,348,063,18
343,348,191,243
343,348,234,19
343,348,501,102
343,348,503,165
343,348,505,77
343,348,514,47
343,348,3020,7
343,348,3021,120
343,348,3022,15
343,348,3023,8
343,348,3024,7
343,348,3025,6
343,348,3026,335
343,348,3027,70
343,348,9003,0
343,348,9004,18
343,348,9005,50
343,348,9006,2
349,357,047,44
349,357,063,31
349,357,191,404
349,357,234,29
349,357,501,196
349,357,503,298
349,357,505,175
349,357,514,83
349,357,3020,13
349,357,3021,258
349,357,3022,33
349,357,3023,19
349,357,3024,13
349,357,3025,18
349,357,3026,546
349,357,3027,98
349,357,9003,8
349,357,9004,44
349,357,9005,93
349,357,9006,0
358,363,047,42
358,363,063,23
358,363,191,165
358,363,234,74
358,363,501,142
358,363,503,223
358,363,505,142
358,363,514,59
358,363,3020,9
358,363,3021,263
358,363,3022,25
358,363,3023,20
358,363,3024,18
358,363,3025,5
358,363,3026,174
358,363,3027,112
358,363,9003,0
358,363,9004,15
358,363,9005,37
358,363,9006,3
364,376,047,91
364,376,063,39
364,376,191,396
364,376,234,41
364,376,501,229
364,376,503,390
364,376,505,286
364,376,514,134
364,376,3020,27
364,376,3021,425
364,376,3022,47
364,376,3023,32
364,376,3024,19
364,376,3025,21
364,376,3026,396
364,376,3027,185
364,376,9003,0
364,376,9004,36
364,376,9005,107
364,376,9006,1
377,388,047,99
377,388,063,56
377,388,191,429
377,388,234,61
377,388,501,236
377,388,503,498
377,388,505,288
377,388,514,128
377,388,3020,16
377,388,3021,497
377,388,3022,55
377,388,3023,56
377,388,3024,23
377,388,3025,16
377,388,3026,426
377,388,3027,181
377,388,9003,3
377,388,9004,49
377,388,9005,83
377,388,9006,3
389,396,047,72
389,396,063,28
389,396,191,292
389,396,234,35
389,396,501,176
389,396,503,284
389,396,505,207
389,396,514,75
389,396,3020,18
389,396,3021,340
389,396,3022,41
389,396,3023,19
389,396,3024,16
389,396,3025,13
389,396,3026,325
389,396,3027,124
389,396,9003,0
389,396,9004,24
389,396,9005,61
389,396,9006,1
397,401,047,34
397,401,063,19
397,401,191,162
397,401,234,20
397,401,501,127
397,401,503,180
397,401,505,156
397,401,514,50
397,401,3020,7
397,401,3021,194
397,401,3022,27
397,401,3023,11
397,401,3024,5
397,401,3025,5
397,401,3026,191
