fake_id,3,47,191,217,501,503,505,512,514,9003,9004,9005,9006,overall_total
1577-1586,321,78,373,68,474,349,244,471,177,0,38,79,0,2672
2075-2088,252,122,758,153,389,577,422,465,168,8,20,52,2,3388
7942-7944,2,5,111,4,169,22,8,155,7,0,8,0,0,491
4385-4392,13,30,343,25,684,156,35,781,19,0,17,44,0,2147
1214-1230,293,198,1063,226,631,727,644,619,238,4,31,62,1,4737
2732-2744,278,111,715,125,384,534,388,557,217,0,42,67,0,3418
7937-7941,4,6,309,11,328,92,12,415,18,0,28,6,0,1229
518-522,139,29,99,26,342,128,76,257,65,0,15,26,0,1202
4008-4012,15,9,499,13,543,89,19,191,20,0,25,16,0,1439
710-720,176,67,575,143,400,467,437,401,150,0,19,53,2,2890
7096-7104,25,25,505,53,154,144,63,1012,18,0,28,23,0,2050
3152-3153,7,5,77,13,144,56,43,152,25,0,1,10,1,534
3027-3030,40,40,252,86,109,227,120,98,42,0,10,11,0,1035
3951-3951,0,0,7,0,0,2,1,4,0,1,0,1,0,16
4950-4953,30,15,309,47,140,118,65,220,34,0,7,32,0,1017
5687-5694,24,24,445,63,217,271,76,818,94,0,18,45,0,2095
6685-6692,16,5,493,27,110,140,30,1259,34,0,14,22,0,2150
966-972,81,46,352,62,199,303,217,203,87,0,9,32,0,1591
7871-7877,11,6,614,24,286,186,39,597,15,18,58,7,0,1861
3935-3938,2,2,220,2,145,8,1,264,4,0,4,4,0,656
1005-1014,203,77,482,90,337,404,301,414,188,0,20,64,1,2581
4305-4306,0,1,178,3,15,7,5,270,1,5,6,2,0,493
3903-3909,17,3,578,14,267,141,28,573,19,0,29,18,0,1687
6958-6970,26,59,545,80,389,416,166,1466,107,0,44,76,0,3374
4251-4258,27,31,347,45,910,244,65,525,48,0,36,24,1,2303
4811-4812,1,2,73,1,36,16,3,229,2,0,1,1,0,365
4302-4303,6,0,76,1,25,18,9,151,15,0,4,5,0,310
1936-1952,319,165,927,236,583,711,650,533,251,15,28,91,7,4516
1493-1498,132,51,216,39,199,186,166,217,96,0,13,31,0,1346
358-363,141,66,370,65,181,247,214,187,66,0,4,33,0,1574
7710-7711,1,0,130,1,355,2,2,32,1,0,8,4,0,536
2570-2584,418,137,748,112,457,626,420,649,226,0,48,112,0,3953
7449-7454,8,5,338,23,186,126,26,274,16,0,53,14,0,1069
